gene_id	transcript_id(s)	SRX26953675	SRX26953676	SRX26953677	SRX26953678	SRX26953679	SRX26953680	SRX26953681	SRX26953682	SRX26953683	SRX26953684	SRX26953685	SRX26953686
ENSMUSG00000000001	ENSMUST00000000001	3845.78	6833.95	7431.55	6093.98	1243.00	1387.00	1970.45	1813.69	3857.95	2556.89	5503.66	5891.69
ENSMUSG00000000003	ENSMUST00000000003,ENSMUST00000114041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000028	ENSMUST00000000028,ENSMUST00000096990,ENSMUST00000115585,ENSMUST00000231819	119.00	362.00	205.00	147.00	0.00	0.00	169.00	7.00	0.00	0.00	36.00	198.00
ENSMUSG00000000031	ENSMUST00000132294,ENSMUST00000136359,ENSMUST00000140716,ENSMUST00000152754,ENSMUST00000228259,ENSMUST00000228514,ENSMUST00000246665,ENSMUST00000247195,ENSMUST00000247519,ENSMUST00000249623,ENSMUST00000249624,ENSMUST00000249625,ENSMUST00000249626,ENSMUST00000249627,ENSMUST00000249628,ENSMUST00000249629,ENSMUST00000299854,ENSMUST00000299855,ENSMUST00000299856,ENSMUST00000299857,ENSMUST00000299858	5.00	27.00	23.00	16.00	34.00	0.00	0.00	0.00	0.00	147.00	64.00	89.00
ENSMUSG00000000037	ENSMUST00000019101,ENSMUST00000074802,ENSMUST00000077375,ENSMUST00000087090,ENSMUST00000101113,ENSMUST00000112345,ENSMUST00000124775,ENSMUST00000238361,ENSMUST00000238603	96.00	90.00	55.00	99.00	0.00	0.00	0.00	210.00	0.00	4.00	78.00	192.00
ENSMUSG00000000049	ENSMUST00000000049,ENSMUST00000133383,ENSMUST00000146050,ENSMUST00000152958	1.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000056	ENSMUST00000103015,ENSMUST00000151088,ENSMUST00000154047	839.00	1046.00	1324.00	684.00	619.00	1090.00	541.00	360.00	891.00	583.00	1197.00	447.00
ENSMUSG00000000058	ENSMUST00000000058,ENSMUST00000115459,ENSMUST00000115462	918.00	4087.00	3195.00	3019.00	648.00	991.00	1419.00	1935.00	2412.00	3749.00	4982.00	2731.00
ENSMUSG00000000078	ENSMUST00000000080,ENSMUST00000221734,ENSMUST00000222857	13219.00	23104.00	27618.00	22555.00	3436.00	2930.00	3814.00	1338.00	3263.00	1105.00	2513.00	3150.00
ENSMUSG00000000085	ENSMUST00000000087,ENSMUST00000064991,ENSMUST00000106298,ENSMUST00000106301,ENSMUST00000122860,ENSMUST00000132116,ENSMUST00000133169,ENSMUST00000133290,ENSMUST00000134375,ENSMUST00000136801,ENSMUST00000144555,ENSMUST00000144862,ENSMUST00000151345,ENSMUST00000153099	2445.00	1576.00	1501.00	2133.00	767.00	1573.00	1283.00	1011.00	843.00	923.00	1396.00	2741.00
ENSMUSG00000000088	ENSMUST00000000090,ENSMUST00000213678,ENSMUST00000214154	1871.65	3525.76	3504.73	3030.22	2426.51	7046.12	5599.63	3267.29	5172.71	4593.78	4028.09	4293.13
ENSMUSG00000000093	ENSMUST00000000095	4360.96	2199.93	2217.66	2269.83	354.78	1146.43	673.49	591.00	75.00	9.55	733.00	350.00
ENSMUSG00000000094	ENSMUST00000000096,ENSMUST00000108045,ENSMUST00000108047	149.00	158.00	121.00	247.00	592.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
ENSMUSG00000000103	ENSMUST00000115891,ENSMUST00000187148	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000120	ENSMUST00000000122	77.00	10.00	19.00	21.00	13.00	23.00	40.00	6.00	19.00	11.00	87.00	9.00
ENSMUSG00000000125	ENSMUST00000000127	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000126	ENSMUST00000000128,ENSMUST00000108783	302.00	217.00	346.00	276.00	51.00	0.00	0.00	0.00	0.00	0.00	251.00	392.00
ENSMUSG00000000127	ENSMUST00000000129,ENSMUST00000038080,ENSMUST00000232945,ENSMUST00000233190,ENSMUST00000233225	427.53	931.16	863.49	704.02	896.00	633.00	1071.00	502.93	1324.27	1471.00	655.47	1583.95
ENSMUSG00000000131	ENSMUST00000009344,ENSMUST00000163959,ENSMUST00000164741,ENSMUST00000165608,ENSMUST00000165660,ENSMUST00000166368,ENSMUST00000166538,ENSMUST00000166540,ENSMUST00000166719,ENSMUST00000167147,ENSMUST00000167268,ENSMUST00000167315,ENSMUST00000168189,ENSMUST00000168564,ENSMUST00000168649,ENSMUST00000168933,ENSMUST00000169059,ENSMUST00000170675,ENSMUST00000171861,ENSMUST00000206784	4986.00	3948.00	3738.00	4241.00	1055.00	961.00	794.00	687.00	1603.00	2042.00	1756.00	3098.00
