"sample","fastq_1","fastq_2","strandedness","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX26953675","./raw_data/fastq/SRX26953675_SRR31588248_1.fastq.gz","./raw_data/fastq/SRX26953675_SRR31588248_2.fastq.gz","auto","SRR31588248","SRX26953675","SAMN45147622","SRS23423841","PRJNA1193574","SRP549060","SRA2026553","GSM8661341_r1","GSM8661341_r1","GSM8661341","GSE283393","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8661341","Illumina NovaSeq X Plus","ILLUMINA","3183705300","31837053","10090","Mus musculus","Macrophage, replicate 1","Illumina NovaSeq X Plus sequencing: GSM8661341: Macrophage, replicate 1 Mus musculus RNA-Seq","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","Macrophage, replicate 1","808029799c5832a851396873b64dcdea;d4b679de0df8d5e25bde93a737b003fa","943642443;943276445","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/048/SRR31588248/SRR31588248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/048/SRR31588248/SRR31588248_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/048/SRR31588248/SRR31588248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/048/SRR31588248/SRR31588248_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/048/SRR31588248/SRR31588248_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/048/SRR31588248/SRR31588248_2.fastq.gz"
"SRX26953676","./raw_data/fastq/SRX26953676_SRR31588247_1.fastq.gz","./raw_data/fastq/SRX26953676_SRR31588247_2.fastq.gz","auto","SRR31588247","SRX26953676","SAMN45147621","SRS23423842","PRJNA1193574","SRP549060","SRA2026553","GSM8661342_r1","GSM8661342_r1","GSM8661342","GSE283393","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8661342","Illumina NovaSeq X Plus","ILLUMINA","3457176700","34571767","10090","Mus musculus","Macrophage, replicate 2","Illumina NovaSeq X Plus sequencing: GSM8661342: Macrophage, replicate 2 Mus musculus RNA-Seq","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","Macrophage, replicate 2","1a97e5e5fc10370acc01c9bb6e8ac5c1;143de945a6a62cbfbc13fb5c36498c67","1026306516;1018984021","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/047/SRR31588247/SRR31588247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/047/SRR31588247/SRR31588247_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/047/SRR31588247/SRR31588247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/047/SRR31588247/SRR31588247_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/047/SRR31588247/SRR31588247_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/047/SRR31588247/SRR31588247_2.fastq.gz"
"SRX26953677","./raw_data/fastq/SRX26953677_SRR31588246_1.fastq.gz","./raw_data/fastq/SRX26953677_SRR31588246_2.fastq.gz","auto","SRR31588246","SRX26953677","SAMN45147620","SRS23423843","PRJNA1193574","SRP549060","SRA2026553","GSM8661343_r1","GSM8661343_r1","GSM8661343","GSE283393","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8661343","Illumina NovaSeq X Plus","ILLUMINA","3773416600","37734166","10090","Mus musculus","Macrophage, replicate 3","Illumina NovaSeq X Plus sequencing: GSM8661343: Macrophage, replicate 3 Mus musculus RNA-Seq","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","Macrophage, replicate 3","a7906835eeba05add37a4c74808af6b3;e2c6546aedbd7ce7c5c16dc193b4a86e","1116887061;1113541504","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/046/SRR31588246/SRR31588246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/046/SRR31588246/SRR31588246_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/046/SRR31588246/SRR31588246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/046/SRR31588246/SRR31588246_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/046/SRR31588246/SRR31588246_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/046/SRR31588246/SRR31588246_2.fastq.gz"
"SRX26953678","./raw_data/fastq/SRX26953678_SRR31588245_1.fastq.gz","./raw_data/fastq/SRX26953678_SRR31588245_2.fastq.gz","auto","SRR31588245","SRX26953678","SAMN45147619","SRS23423844","PRJNA1193574","SRP549060","SRA2026553","GSM8661344_r1","GSM8661344_r1","GSM8661344","GSE283393","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8661344","Illumina NovaSeq X Plus","ILLUMINA","3470882000","34708820","10090","Mus musculus","Macrophage, replicate 4","Illumina NovaSeq X Plus sequencing: GSM8661344: Macrophage, replicate 4 Mus musculus RNA-Seq","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","Macrophage, replicate 4","4fe25ba9bad22da584da0321223b355d;f412a71b667aa2f84dfad399c92d543f","1029339789;1022025540","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/045/SRR31588245/SRR31588245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/045/SRR31588245/SRR31588245_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/045/SRR31588245/SRR31588245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/045/SRR31588245/SRR31588245_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/045/SRR31588245/SRR31588245_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/045/SRR31588245/SRR31588245_2.fastq.gz"
"SRX26953679","./raw_data/fastq/SRX26953679_SRR31588244_1.fastq.gz","./raw_data/fastq/SRX26953679_SRR31588244_2.fastq.gz","auto","SRR31588244","SRX26953679","SAMN45147618","SRS23423845","PRJNA1193574","SRP549060","SRA2026553","GSM8661345_r1","GSM8661345_r1","GSM8661345","GSE283393","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8661345","Illumina NovaSeq X Plus","ILLUMINA","3785129500","37851295","10090","Mus musculus","MNGC, replicate 1","Illumina NovaSeq X Plus sequencing: GSM8661345: MNGC, replicate 1 Mus musculus RNA-Seq","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","MNGC, replicate 1","ea43adb05be064e8fb7025e223aeb7ed;c00b41c2e32111a3297f73105f2bde73","1111720017;1101124745","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/044/SRR31588244/SRR31588244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/044/SRR31588244/SRR31588244_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/044/SRR31588244/SRR31588244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/044/SRR31588244/SRR31588244_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/044/SRR31588244/SRR31588244_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/044/SRR31588244/SRR31588244_2.fastq.gz"
"SRX26953680","./raw_data/fastq/SRX26953680_SRR31588243_1.fastq.gz","./raw_data/fastq/SRX26953680_SRR31588243_2.fastq.gz","auto","SRR31588243","SRX26953680","SAMN45147617","SRS23423846","PRJNA1193574","SRP549060","SRA2026553","GSM8661346_r1","GSM8661346_r1","GSM8661346","GSE283393","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8661346","Illumina NovaSeq X Plus","ILLUMINA","3862438700","38624387","10090","Mus musculus","MNGC, replicate 2","Illumina NovaSeq X Plus sequencing: GSM8661346: MNGC, replicate 2 Mus musculus RNA-Seq","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","MNGC, replicate 2","11f56956a34ffe2c0fc96715a78fcbd9;88bcd11345a6724c226c61000fa9f89e","1135323274;1124303045","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/043/SRR31588243/SRR31588243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/043/SRR31588243/SRR31588243_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/043/SRR31588243/SRR31588243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/043/SRR31588243/SRR31588243_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/043/SRR31588243/SRR31588243_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/043/SRR31588243/SRR31588243_2.fastq.gz"
"SRX26953681","./raw_data/fastq/SRX26953681_SRR31588242_1.fastq.gz","./raw_data/fastq/SRX26953681_SRR31588242_2.fastq.gz","auto","SRR31588242","SRX26953681","SAMN45147616","SRS23423847","PRJNA1193574","SRP549060","SRA2026553","GSM8661347_r1","GSM8661347_r1","GSM8661347","GSE283393","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8661347","Illumina NovaSeq X Plus","ILLUMINA","3784490000","37844900","10090","Mus musculus","MNGC, replicate 3","Illumina NovaSeq X Plus sequencing: GSM8661347: MNGC, replicate 3 Mus musculus RNA-Seq","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","MNGC, replicate 3","a1f43a71745ef9bcd3393850593cabe0;eb12bd9acf0003601c3cc9c8f237306f","1111464398;1106709272","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/042/SRR31588242/SRR31588242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/042/SRR31588242/SRR31588242_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/042/SRR31588242/SRR31588242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/042/SRR31588242/SRR31588242_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/042/SRR31588242/SRR31588242_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/042/SRR31588242/SRR31588242_2.fastq.gz"
"SRX26953682","./raw_data/fastq/SRX26953682_SRR31588241_1.fastq.gz","./raw_data/fastq/SRX26953682_SRR31588241_2.fastq.gz","auto","SRR31588241","SRX26953682","SAMN45147615","SRS23423848","PRJNA1193574","SRP549060","SRA2026553","GSM8661348_r1","GSM8661348_r1","GSM8661348","GSE283393","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8661348","Illumina NovaSeq X Plus","ILLUMINA","3681150700","36811507","10090","Mus musculus","MNGC, replicate 4","Illumina NovaSeq X Plus sequencing: GSM8661348: MNGC, replicate 4 Mus musculus RNA-Seq","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","MNGC, replicate 4","8d215da69fbaecfeef4efee0bbd075ea;8fd107dd4390d1538fcdb1464774e867","1071261181;1051672533","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/041/SRR31588241/SRR31588241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/041/SRR31588241/SRR31588241_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/041/SRR31588241/SRR31588241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/041/SRR31588241/SRR31588241_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/041/SRR31588241/SRR31588241_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/041/SRR31588241/SRR31588241_2.fastq.gz"
"SRX26953683","./raw_data/fastq/SRX26953683_SRR31588240_1.fastq.gz","./raw_data/fastq/SRX26953683_SRR31588240_2.fastq.gz","auto","SRR31588240","SRX26953683","SAMN45147614","SRS23423849","PRJNA1193574","SRP549060","SRA2026553","GSM8661349_r1","GSM8661349_r1","GSM8661349","GSE283393","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8661349","Illumina NovaSeq X Plus","ILLUMINA","3674596700","36745967","10090","Mus musculus","Stroma, replicate 1","Illumina NovaSeq X Plus sequencing: GSM8661349: Stroma, replicate 1 Mus musculus RNA-Seq","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","Stroma, replicate 1","3ec01697bf90763cd103f764b44e32b2;baee71c04ce87f15b61d2e1437ec0caf","1080686778;1070028778","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/040/SRR31588240/SRR31588240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/040/SRR31588240/SRR31588240_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/040/SRR31588240/SRR31588240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/040/SRR31588240/SRR31588240_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/040/SRR31588240/SRR31588240_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/040/SRR31588240/SRR31588240_2.fastq.gz"
"SRX26953684","./raw_data/fastq/SRX26953684_SRR31588239_1.fastq.gz","./raw_data/fastq/SRX26953684_SRR31588239_2.fastq.gz","auto","SRR31588239","SRX26953684","SAMN45147613","SRS23423850","PRJNA1193574","SRP549060","SRA2026553","GSM8661350_r1","GSM8661350_r1","GSM8661350","GSE283393","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM8661350","Illumina NovaSeq X Plus","ILLUMINA","4095022800","40950228","10090","Mus musculus","Stroma, replicate 2","Illumina NovaSeq X Plus sequencing: GSM8661350: Stroma, replicate 2 Mus musculus RNA-Seq","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","Stroma, replicate 2","73a88760524d090eaadcf4456e3fed92;fdc688ecb39c31fa26972d69793fa423","1196849245;1183871794","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/039/SRR31588239/SRR31588239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/039/SRR31588239/SRR31588239_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/039/SRR31588239/SRR31588239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/039/SRR31588239/SRR31588239_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/039/SRR31588239/SRR31588239_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR315/039/SRR31588239/SRR31588239_2.fastq.gz"
